序号,书名,链接,作者,评分,评价人数,简介
70,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.1,72031,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,https://book.douban.com/subject/26672693/
71,四世同堂,老舍 / 北京十月文艺出版社 / 2008-07 / 36.00元,9.4,42219,北平沦陷时代广大平民的悲惨遭遇,https://book.douban.com/subject/3183775/
72,上帝掷骰子吗,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,9.2,35496,量子物理史话,https://book.douban.com/subject/1467022/
73,唐诗三百首,蘅塘退士 / 中华书局 / 1984-07-01 / 0.65,9.4,28009,熟读唐诗三百首，不会吟诗也会吟,https://book.douban.com/subject/1013267/
74,美的历程,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,9.2,33364,中国美学经典之作,https://book.douban.com/subject/3410718/
75,灿烂千阳,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.9,124996,唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/
76,哭泣的骆驼,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,9.0,58318,沙漠中寻常的生与死,https://book.douban.com/subject/1029111/
77,文学回忆录,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.1,45115,木心留给世界的礼物,https://book.douban.com/subject/20440644/
78,窗边的小豆豆,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.8,215581,真正懂孩子的教育经,https://book.douban.com/subject/1007914/
79,最好的告别,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / 54.90元,9.0,52585,关于衰老与死亡，你必须知道的常识,https://book.douban.com/subject/26576861/
80,呼兰河传,萧红 / 百花文艺出版社 / 2005-01 / 19.00,9.0,85905,萧红的童年往事,https://book.douban.com/subject/1060852/
81,人间词话,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,9.1,56180,以新眼光评旧文学,https://book.douban.com/subject/1203426/
82,冬牧场,李娟 / 新星出版社 / 2012-6 / 29.80元,9.1,42513,阿勒泰的精灵,https://book.douban.com/subject/10522856/
83,毛泽东选集 第一卷,毛泽东 / 人民出版社 / 1991-6 / 40.00元,9.6,31056,中国历史上首部完整的哲学著作,https://book.douban.com/subject/1139360/
84,罪与罚,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,9.3,36926,描绘人内心的全部深度,https://book.douban.com/subject/1858568/
85,棋王·树王·孩子王,阿城 / 江苏凤凰文艺出版社 / 2016-3-1 / 58.00,9.3,30583,探索中年的虚无、困惑、野心和近乎残暴的爱,https://book.douban.com/subject/26734559/
86,叫魂,[美] 孔飞力 / 陈兼 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,9.2,32833,,https://book.douban.com/subject/25912076/
87,看见,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,341073,在这里看见中国,https://book.douban.com/subject/20427187/
88,浪潮之巅,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0,34132,了解IT领域的入门读物,https://book.douban.com/subject/6709783/
89,筚路维艰,萧冬连 / 社会科学文献出版社 / 2014-10-1 / 45.00元,9.5,18417,王小波与李银河的两地书,https://book.douban.com/subject/26171466/
90,失明症漫记,[葡] 若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50元,9.1,40300,失明症迅速蔓延，整个城市陷入一场空前的灾难,https://book.douban.com/subject/20428302/
91,一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫 / 周颖琪 / 天津人民出版社 / 2019-10 / 45.00元,9.2,33078,江南乡镇民间生活，健康淳朴的人性,https://book.douban.com/subject/34835082/
92,人生的枷锁,[英] 毛姆 / 张柏然 / 上海译文出版社 / 2007-3 / 32.00元,9.1,31873,在混沌纷扰的生活漩流中，寻求人生的真谛,https://book.douban.com/subject/2035171/
93,我们仨,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.8,314425,家庭生活回忆录,https://book.douban.com/subject/1023045/
94,巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / CNY 129.80,8.9,86281,五个家族，一场战争,https://book.douban.com/subject/26698660/
95,桶川跟踪狂杀人事件,[日] 清水洁 / 王华懋 / 四川人民出版社 / 2021-2 / 45.00元,9.0,51498,对世俗、实用问题深刻而透彻的讨论,https://book.douban.com/subject/35094680/
96,海子的诗,海子 / 人民文学出版社 / 1999-04 / 15.40,9.0,47414,一个淡泊清透的世界,https://book.douban.com/subject/1011754/
97,教父,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9.0,41065,“教父三部曲”电影原著,https://book.douban.com/subject/1092335/
98,西线无战事,[德] 埃里希·玛丽亚·雷马克 / 姜乙 / 上海文艺出版社 / 2021-1 / 49,9.4,22785,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,https://book.douban.com/subject/35272817/
99,额尔古纳河右岸,迟子建 / 人民文学出版社 / 2019-6-1 / 32.00元,9.0,55416,武侠的解构，流氓的狂欢,https://book.douban.com/subject/34432750/
100,斯通纳,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,8.8,66514,即使不能拥有完美的生活，所幸追求过完整的自我,https://book.douban.com/subject/26425831/
101,陆犯焉识,严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.9,58583,翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/
102,克莱因壶,[日] 冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,8.9,72977,我就是要这样香，香得痛痛快快,https://book.douban.com/subject/33658616/
103,面纱,[英] 威廉·萨默塞特·毛姆 / 于大卫 / 江西人民出版社 / 2016-4-1 / 39.8元,9.0,42865,一切充满了善，然而到处是不凑巧,https://book.douban.com/subject/26757680/
104,十万个为什么,少年儿童出版社 / 1962 / 30.00元,9.2,20542,探索时间和空间的核心秘密,https://book.douban.com/subject/2160556/
105,梦里花落知多少,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,98911,哀而不伤,https://book.douban.com/subject/2070844/
106,平面国,[英] 埃德温·A.艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元,9.2,24444,伊坂幸太郎代表作,https://book.douban.com/subject/35170896/
