排名,书名,简介,作者,评分,评分人数,链接
102,叫魂,无简介,[美] 孔飞力 / 陈兼 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,9.2,33339人评价,https://book.douban.com/subject/25912076/
103,筚路维艰,无简介,萧冬连 / 社会科学文献出版社 / 2014-10-1 / 45.00元,9.5,18928人评价,https://book.douban.com/subject/26171466/
104,人生的枷锁,在混沌纷扰的生活漩流中，寻求人生的真谛,[英] 毛姆 / 张柏然 / 上海译文出版社 / 2007-3 / 32.00元,9.1,31976人评价,https://book.douban.com/subject/2035171/
105,我们仨,家庭生活回忆录,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.8,315054人评价,https://book.douban.com/subject/1023045/
106,爱你就像爱生命,王小波与李银河的两地书,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,117011人评价,https://book.douban.com/subject/3071717/
107,失明症漫记,失明症迅速蔓延，整个城市陷入一场空前的灾难,[葡] 若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50元,9.1,40506人评价,https://book.douban.com/subject/20428302/
108,巨人的陨落,五个家族，一场战争,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / CNY 129.80,8.9,86415人评价,https://book.douban.com/subject/26698660/
109,教父,“教父三部曲”电影原著,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9.0,41142人评价,https://book.douban.com/subject/1092335/
110,桶川跟踪狂杀人事件,无简介,[日] 清水洁 / 王华懋 / 四川人民出版社 / 2021-2 / 45.00元,9.0,51970人评价,https://book.douban.com/subject/35094680/
111,人生的智慧,对世俗、实用问题深刻而透彻的讨论,(德)叔本华 / 韦启昌 / 上海人民出版社 / 2008-10-01 / 28.00元,9.2,33861人评价,https://book.douban.com/subject/3261600/
112,看不见的城市,无简介,[意] 伊塔洛·卡尔维诺 / 张密 / 译林出版社 / 2012-4 / 25.00元,9.0,39001人评价,https://book.douban.com/subject/10555509/
113,遥远的向日葵地,无简介,李娟 / 花城出版社 / 2017-11 / 38.00元,9.1,38153人评价,https://book.douban.com/subject/27184303/
114,一间只属于自己的房间,无简介,[英] 弗吉尼亚·伍尔夫 / 周颖琪 / 天津人民出版社 / 2019-10 / 45.00元,9.2,34070人评价,https://book.douban.com/subject/34835082/
115,受戒,江南乡镇民间生活，健康淳朴的人性,汪曾祺 / 漓江出版社 / 1987-10 / 3.95元,9.3,28204人评价,https://book.douban.com/subject/1760432/
116,西线无战事,无简介,[德] 埃里希·玛丽亚·雷马克 / 姜乙 / 上海文艺出版社 / 2021-1 / 49,9.5,23174人评价,https://book.douban.com/subject/35272817/
117,海子的诗,无简介,海子 / 人民文学出版社 / 1999-04 / 15.40,9.0,47545人评价,https://book.douban.com/subject/1011754/
118,飞鸟集,一个淡泊清透的世界,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.9,67468人评价,https://book.douban.com/subject/1058661/
119,鹿鼎记,武侠的解构，流氓的狂欢,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.9,56632人评价,https://book.douban.com/subject/1212893/
120,茶馆,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,老舍 / 人民文学出版社 / 2002-1 / 9.80元,9.2,35530人评价,https://book.douban.com/subject/1036613/
121,少年凯歌,无简介,人民文学出版社 / 2001-6 / 10.00元,9.3,19387人评价,https://book.douban.com/subject/1091203/
122,南京大屠杀,无简介,[美]张纯如（Iris Chang） / 谭春霞 / 中信出版社 / 2015-8 / 49.00元,9.7,21059人评价,https://book.douban.com/subject/26545308/
123,额尔古纳河右岸,无简介,迟子建 / 人民文学出版社 / 2019-6-1 / 32.00元,9.0,56701人评价,https://book.douban.com/subject/34432750/
124,流俗地,无简介,[马来西亚] 黎紫书 / 北京十月文艺出版社 / 2021-4-1 / 55.00元,9.2,24182人评价,https://book.douban.com/subject/35430425/
125,陆犯焉识,翻手为苍凉，覆手为繁华,严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.9,58749人评价,https://book.douban.com/subject/6880158/
126,克莱因壶,无简介,[日] 冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,8.9,73711人评价,https://book.douban.com/subject/33658616/
127,边城,一切充满了善，然而到处是不凑巧,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.7,234218人评价,https://book.douban.com/subject/1057244/
